,Course,Description,Image,Instructor,Link,Price,PrimaryCategory,PrimaryCategoryID,PrimarySubcategory,PrimarySubcategoryID,Rating
156,Life Coaching Certification Programme (Beginner to Advanced),"A comprehensive Life Coach Certification Course in the primary concepts, principles and practices of Life Coaching",https://udemy-images.udemy.com/course/125_H/1080376_3647_3.jpg,Kain Ramsay,/life-coaching-online-certification-course-life-coach-training/,$199.99,Personal Development,296,Personal Transformation,142,4.6
157,Learn How To Code: Google's Go (golang) Programming Language,Learn programming from a University Professor in Computer Science with over 15 years of teaching experience.,https://udemy-images.udemy.com/course/125_H/642102_4e20_2.jpg,Todd McLeod,/learn-how-to-code/,$34.99,Development,288,Programming Languages,12,4.52
158,Angular 5 (formerly Angular 2) - The Complete Guide,"Master Angular (Angular 2+, incl. Angular 5) and build awesome, reactive web apps with the successor of Angular.js",https://udemy-images.udemy.com/course/125_H/756150_c033_2.jpg,Maximilian Schwarzmüller,/the-complete-guide-to-angular-2/,$189.99,Development,288,Web Development,8,4.67
159,Ninja Writing: The Four Levels Of Writing Mastery,"Turn Your Business Writing, Blogs, Books & Essays Into Masterpieces",https://udemy-images.udemy.com/course/125_H/736456_f01e_3.jpg,Shani Raja,/ninja-writing-the-four-levels-of-writing-mastery/,$199.99,Business,268,Communications,28,4.46
160,Learn Website Hacking / Penetration Testing From Scratch,"Learn how to hack websites and web applications like black hat hackers, and learn how to secure them from these hackers.",https://udemy-images.udemy.com/course/125_H/984734_90be_6.jpg,Zaid Sabih,/learn-website-hacking-penetration-testing-from-scratch/,$189.99,IT & Software,294,Network & Security,134,4.6
161,"Data Science, Deep Learning, & Machine Learning with Python","Go hands-on with the neural network, artificial intelligence, and machine learning techniques employers are seeking!",https://udemy-images.udemy.com/course/125_H/671576_a272_4.jpg,Sundog Education by Frank Kane,/data-science-and-machine-learning-with-python-hands-on/,$159.99,Development,288,Software Engineering,20,4.53
162,Body Language for Entrepreneurs,Use nonverbal communication to increase your income and influence as a business owner. Master body language for success.,https://udemy-images.udemy.com/course/125_H/84792_604a_13.jpg,Vanessa Van Edwards,/body-language-for-entrepreneurs/,$199.99,Personal Development,296,Influence,166,4.6
163,Spark and Python for Big Data with PySpark,"Learn how to use Spark with Python, including Spark Streaming, Machine Learning, Spark 2.0 DataFrames and more!",https://udemy-images.udemy.com/course/125_H/980798_6081.jpg,Jose Portilla,/spark-and-python-for-big-data-with-pyspark/,$194.99,Development,288,Software Engineering,20,4.52
164,Build a Real-world App with ASP.NET Core and Angular 2 (4+),"Build a full-stack web app with ASP.NET Core, Entity Framework Core and Angular 2 (Angular 4+)",https://udemy-images.udemy.com/course/125_H/1144726_45a2_2.jpg,Mosh Hamedani,/aspnet-core-angular/,$189.99,Development,288,Web Development,8,4.52
165,Statistics for Data Science and Business Analysis,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis",https://udemy-images.udemy.com/course/125_H/1298780_731f_3.jpg,365 Careers,/statistics-for-data-science-and-business-analysis/,$149.99,Business,268,Data & Analytics,44,4.51
