,Course,Description,Image,Instructor,Link,Price,PrimaryCategory,PrimaryCategoryID,PrimarySubcategory,PrimarySubcategoryID,Rating
17,C# Basics for Beginners: Learn C# Fundamentals by Coding,"Learn C# and programming mindset using high-quality, bite-sized videos with real-world examples and lots of exercises.",https://udemy-images.udemy.com/course/480x270/382002_5d4a.jpg,Mosh Hamedani,/csharp-tutorial-for-beginners/,$179.99,Development,288,Programming Languages,12,4.65
18,Learn and Understand NodeJS,"Dive deep under the hood of NodeJS. Learn V8, Express, the MEAN stack, core Javascript concepts, and more.",https://udemy-images.udemy.com/course/480x270/461160_8d87_6.jpg,Anthony Alicea,/understand-nodejs/,$194.99,Development,288,Web Development,8,4.63
19,Go: The Complete Developer's Guide (Golang),Master the fundamentals and advanced features of the Go Programming Language (Golang),https://udemy-images.udemy.com/course/480x270/1309202_1231_4.jpg,Stephen Grider,/go-the-complete-developers-guide/,$84.99,Development,288,Programming Languages,12,4.67
20,The Complete React Native and Redux Course,iOS and Android App Development from scratch - build full React Native mobile apps ridiculously fast!,https://udemy-images.udemy.com/course/480x270/959700_8bd2_9.jpg,Stephen Grider,/the-complete-react-native-and-redux-course/,$94.99,Development,288,Mobile Apps,10,4.68
21,Blockchain ICO Course 2018: Invest in NextGen Cryptocurrency,How to discover & invest in ICOs that deliver the next generation of technology.,https://udemy-images.udemy.com/course/480x270/1543398_dcd9.jpg,Suppoman ™,/blockchain-course/,$199.99,IT & Software,294,Operating Systems,138,4.25
22,Advanced React and Redux,"Detailed walkthroughs on advanced React and Redux concepts - Authentication, Testing, Middlewares, HOC's, and Deployment",https://udemy-images.udemy.com/course/480x270/781532_8b4d_6.jpg,Stephen Grider,/react-redux-tutorial/,$139.99,Development,288,Web Development,8,4.71
23,Tableau 10 A-Z: Hands-On Tableau Training For Data Science!,Learn Tableau 10 for Data Science step-by-step. Real-Life Data Analytics Exercises & Quizzes Included. Learn by doing!,https://udemy-images.udemy.com/course/480x270/937678_abd2.jpg,Kirill Eremenko,/tableau10/,$199.99,Business,268,Data & Analytics,44,4.64
24,Cryptocurrency Trading Course 2018: Make Profits Daily!,The Complete Guide to Cryptocurrency Trading and accumulating profits for your retirement!,https://udemy-images.udemy.com/course/480x270/1400386_8884.jpg,Suppoman ™,/cryptocurrencytrading/,$199.99,Business,268,Finance,24,4.49
25,Modern React with Redux,"Master the fundamentals of React and Redux with this tutorial as you develop apps with React Router, Webpack, and ES6",https://udemy-images.udemy.com/course/480x270/705264_caa9_3.jpg,Stephen Grider,/react-redux/,$179.99,Development,288,Web Development,8,4.68
26,Salesforce Administrator Certification Practice Tests,Three Full Salesforce Admin Certification Timed Tests - 60 Questions Each - 180 Questions Total - Section Level Feedback,https://udemy-images.udemy.com/course/480x270/1165258_2e1d_3.jpg,Mike Wheeler,/salesforce-administrator-certification-practice-tests/,$99.99,IT & Software,294,IT Certification,132,4.6
27,Angular Front To Back,Master Angular 5 from the basics to building an advanced application with Firebase's Firestore as well as authentication,https://udemy-images.udemy.com/course/480x270/1277924_4422_2.jpg,Brad Traversy,/angular-4-front-to-back/,$149.99,Development,288,Web Development,8,4.7
28,Cryptocurrency Wallets Course: Secure Your Cryptos Safely!,"Keep your Cryptocurrency safe & secure from hackers with Paper, Desktop, Mobile and Hardware wallets!",https://udemy-images.udemy.com/course/480x270/1329304_864c_3.jpg,Suppoman ™,/cryptocurrency-wallet/,$194.99,IT & Software,294,Network & Security,134,4.59
29,Tableau 10 Advanced Training: Master Tableau in Data Science,Master Tableau 10 in Data Science by solving Real-Life Analytics Problems. Learn Visualisation and Data Mining by doing!,https://udemy-images.udemy.com/course/480x270/946194_028d.jpg,Kirill Eremenko,/tableau10-advanced/,$199.99,Business,268,Data & Analytics,44,4.65
30,R Programming A-Z™: R For Data Science With Real Exercises!,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",https://udemy-images.udemy.com/course/480x270/765242_2578.jpg,Kirill Eremenko,/r-programming/,$199.99,Business,268,Data & Analytics,44,4.62
31,AWS Certified Solutions Architect - Associate Practice Tests,Final prep for the AWS CSA - A certification exam,https://udemy-images.udemy.com/course/480x270/1105102_4bce.jpg,Ryan Kroonenburg,/aws-certified-solutions-architect-associate-practice-tests/,$99.99,IT & Software,294,IT Certification,132,4.34
32,PMP Exam Prep: Earn Your PMP Certification,Project Management Professional (PMP) Exam Prep Seminar to Pass the PMP Exam - 35 Contact Hours from PMI REP #4082,https://udemy-images.udemy.com/course/480x270/979552_ac7a.jpg,Joseph Phillips,/pmp-exam-prep-earn-your-pmp-certification/,$199.99,Business,268,Project Management,38,4.63
33,Microsoft Excel 2010 Course Beginners/ Intermediate Training,Learn to Invoke the Power of Microsoft Excel in easy to follow stages,https://udemy-images.udemy.com/course/480x270/9287_d093_15.jpg,Infinite Skills,/excel-tutorial/,$49.99,Office Productivity,292,Microsoft,96,4.49
34,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,Forex Trading - Beginners and Experienced - Learn trading by Doing! Live examples: Forex with Real Money in Metatrader 4,https://udemy-images.udemy.com/course/480x270/308690_6e17_2.jpg,Kirill Eremenko,/forex-trading/,$194.99,Business,268,Finance,24,4.59
35,Careers in Data Science A-Z™,"How to Become a Top Level Data Scientist - Learn What to Expect, How to be Prepared, How to Stand Out and More...",https://udemy-images.udemy.com/course/480x270/1388972_4308_3.jpg,Kirill Eremenko,/careers-in-data-science-a-ztm/,$199.99,Academics,300,Math & Science,378,4.51
36,Apache Kafka Series - Learn Apache Kafka for Beginners,"Tutorial: Learn the Apache Kafka Ecosystem, Core Concepts, Operations, Kafka API, Build Your Own Producers and Consumers",https://udemy-images.udemy.com/course/480x270/1075642_b6d2_6.jpg,Stephane Maarek,/apache-kafka/,$49.99,Development,288,Databases,16,4.57
37,Docker Mastery: The Complete Toolset From a Docker Captain,"v17.09 Latest! Build, compose, deploy, and manage Docker containers from development to DevOps based Swarm clusters",https://udemy-images.udemy.com/course/480x270/1035000_c1aa_2.jpg,Bret Fisher,/docker-mastery/,$199.99,Development,288,Development Tools,362,4.7
38,AWS Certified Developer - Associate 2017 (Practice Tests),Final prep for the AWS CD-A certification exam,https://udemy-images.udemy.com/course/480x270/1105302_6311.jpg,Ryan Kroonenburg,/aws-certified-developer-associate-2017-practice-tests/,$99.99,IT & Software,294,IT Certification,132,4.38
39,#1 Cryptocurrency Long-term Investment Opportunity 2017/2018,Learn Long-term Cryptocurrency Investing and see which Alt Coin I think is the best investment opportunity in 2017!,https://udemy-images.udemy.com/course/480x270/1316818_a3aa_2.jpg,Suppoman ™,/cryptocurrency-course/,$194.99,Business,268,Entrepreneurship,26,4.4
40,Seth Godin's Freelancer Course,"Become Remarkable, Find Better Clients, and Do Work That Matters",https://udemy-images.udemy.com/course/480x270/475170_209f.jpg,Seth Godin,/seth-godin-freelancer-course/,$49.99,Business,268,Entrepreneurship,26,4.64
41,Artificial Intelligence: Reinforcement Learning in Python,"Complete guide to artificial intelligence and machine learning, prep for deep reinforcement learning",https://udemy-images.udemy.com/course/480x270/1080408_2645_3.jpg,Lazy Programmer Inc.,/artificial-intelligence-reinforcement-learning-in-python/,$179.99,Business,268,Data & Analytics,44,4.61
42,CompTIA A+ Certification 902. The Total Course,"Everything you need to pass the CompTIA A+ 220-902 Exam, from Mike Meyers, CompTIA expert and bestselling author.",https://udemy-images.udemy.com/course/480x270/878110_5f57.jpg,Total Seminars,/comptia-a-certification-902-the-total-course/,$144.99,IT & Software,294,IT Certification,132,4.7
43,GraphQL with React: The Complete Developers Guide,Learn and master GraphQL by building real web apps with React and Node,https://udemy-images.udemy.com/course/480x270/1109926_7f97_2.jpg,Stephen Grider,/graphql-with-react-course/,$149.99,Development,288,Web Development,8,4.76
44,The Python Bible™ | Everything You Need to Program in Python,Build 11 Projects and go from Beginner to Pro in Python with the World's Most Fun Project-Based Python Course!,https://udemy-images.udemy.com/course/480x270/903378_f32d_5.jpg,Ziyad Yehia,/the-python-bible/,$194.99,Development,288,Programming Languages,12,4.64
45,Unit Testing for C# Developers,"Master unit testing C# code with NUnit and Moq: all about dependency injection, best practices and pitfalls to avoid",https://udemy-images.udemy.com/course/480x270/1496348_a2c1.jpg,Mosh Hamedani,/unit-testing-csharp/,$174.99,Development,288,Software Testing,18,4.73
46,Microsoft Excel - Data Analysis with Excel Pivot Tables,"Master Excel Pivot Tables with a best-selling Microsoft Excel instructor. Excel 2010, Excel 2013, Excel 2016",https://udemy-images.udemy.com/course/480x270/977438_476d_9.jpg,Chris Dutton,/data-analysis-with-excel-pivot-tables/,$174.99,Office Productivity,292,Microsoft,96,4.67
47,AWS Serverless APIs & Apps - A Complete Introduction,"Get into serverless computing with API Gateway, AWS Lambda and other Amazon Web Services! Zero server config APIs & SPAs",https://udemy-images.udemy.com/course/480x270/1241254_9cc1.jpg,Academind by Maximilian Schwarzmüller,/aws-serverless-a-complete-introduction/,$144.99,Development,288,Web Development,8,4.71
48,Xamarin Forms: Build Native Cross-platform Apps with C#,"Learn to build native mobile apps for Android, iOS and Windows using your existing C# skills",https://udemy-images.udemy.com/course/480x270/951684_9c1a_2.jpg,Mosh Hamedani,/xamarin-forms-course/,$189.99,Development,288,Mobile Apps,10,4.61
49,Cryptocurrency never losing formula - Bitcoin trading Robot,"Bitcoin trading robot - be always on a profit, or worst case scenario on zero.",https://udemy-images.udemy.com/course/480x270/1422012_a363_7.jpg,Petko Zhivkov Aleksandrov,/cryptocurrency-never-loosing-formula-bitcoin-robot-trading/,$199.99,Business,268,Finance,24,4.45
50,The Complete ASP.NET MVC 5 Course,Learn to build and deploy fast and secure web applications with ASP.NET MVC 5,https://udemy-images.udemy.com/course/480x270/806922_6310_3.jpg,Mosh Hamedani,/the-complete-aspnet-mvc-5-course/,$189.99,Development,288,Web Development,8,4.58
51,"Node.js, Express & MongoDB Dev to Deployment",Learn by example building & deploying real-world Node.js applications from absolute scratch,https://udemy-images.udemy.com/course/480x270/1358300_6e5c.jpg,Brad Traversy,/nodejs-express-mongodb-dev-to-deployment/,$149.99,Development,288,Web Development,8,4.78
52,Complete Elasticsearch Masterclass with Logstash and Kibana,"Learn how to build a search engine and break into big data by mastering Elasticsearch, Kibana and Logstash (ELK stack)",https://udemy-images.udemy.com/course/480x270/1245870_5814_4.jpg,Imtiaz Ahmad,/complete-elasticsearch-masterclass-with-kibana-and-logstash/,$154.99,Development,288,Databases,16,4.56
53,WordPress Theme Development with Bootstrap,Learn how to confidently develop custom & profitable Responsive WordPress Themes and Websites with no prior experience.,https://udemy-images.udemy.com/course/480x270/271228_ce5b_9.jpg,Brad Hussey,/bootstrap-to-wordpress/,$174.99,Design,269,Web Design,6,4.6
54,Acumen Presents: Chris Anderson on Public Speaking,The Head of TED Teaches You How to Deliver Talks that Share Powerful Ideas,https://udemy-images.udemy.com/course/480x270/852192_8dbd_3.jpg,+Acumen Courses,/chris-anderson-on-public-speaking/,$99.99,Business,268,Communications,28,4.37
55,Bootstrap 4 From Scratch With 5 Projects,Master the latest version of Bootstrap (4.0.0 Beta) and build 5 real world themes while learning HTML5 semantics & CSS3,https://udemy-images.udemy.com/course/480x270/1313502_b57f.jpg,Brad Traversy,/bootstrap-4-from-scratch-with-5-projects/,$149.99,Development,288,Web Development,8,4.69
56,Natural Language Processing with Deep Learning in Python,"Complete guide on deriving and implementing word2vec, GLoVe, word embeddings, and sentiment analysis with recursive nets",https://udemy-images.udemy.com/course/480x270/918390_02a6.jpg,Lazy Programmer Inc.,/natural-language-processing-with-deep-learning-in-python/,$199.99,Business,268,Data & Analytics,44,4.58
57,SQL for Newbs: Data Analysis for Beginners,A course you'll actually finish! This SQL course taught by a Product Manager and Senior Marketing Data Analyst,https://udemy-images.udemy.com/course/480x270/203556_5ff1_3.jpg,A Course You'll Actually Finish,/sql-for-newbs/,$199.99,Business,268,Data & Analytics,44,4.41
58,The Complete Developers Guide to MongoDB,Master MongoDB and Mongoose design with a test-driven approach,https://udemy-images.udemy.com/course/480x270/1000574_06cb.jpg,Stephen Grider,/the-complete-developers-guide-to-mongodb/,$149.99,Development,288,Web Development,8,4.66
59,Flourishing in Stressful Times - with Tara Brach,"Transform anger & anxiety into resilience & creative energy through the practice of compassion, mindfulness & meditation",https://udemy-images.udemy.com/course/480x270/1426094_79c4_2.jpg,"Tara Brach, Ph.D.",/flourishing-in-stressful-times-with-tara-brach/,$59.99,Health & Fitness,276,Meditation,242,4.62
60,Advanced AI: Deep Reinforcement Learning in Python,The Complete Guide to Mastering Artificial Intelligence using Deep Learning and Neural Networks,https://udemy-images.udemy.com/course/480x270/1153742_e649.jpg,Lazy Programmer Inc.,/deep-reinforcement-learning-in-python/,$179.99,Business,268,Data & Analytics,44,4.66
61,The Complete JavaScript Course: Build a Real-World Project,"Master JavaScript with the most complete JavaScript course on the market! Includes projects, challenges, final exam, ES6",https://udemy-images.udemy.com/course/480x270/851712_fc61_5.jpg,Jonas Schmedtmann,/the-complete-javascript-course/,$199.99,Development,288,Web Development,8,4.66
62,Apache Spark 2.0 with Scala - Hands On with Big Data!,"Dive right in with 20+  hands-on examples of analyzing large data sets with Apache Spark, on your desktop or on Hadoop!",https://udemy-images.udemy.com/course/480x270/892806_514e_3.jpg,Sundog Education by Frank Kane,/apache-spark-with-scala-hands-on-with-big-data/,$99.99,Business,268,Data & Analytics,44,4.56
63,Nuxt.js - Vue.js on Steroids,Build highly engaging Vue JS apps with Nuxt.js. Nuxt adds easy server-side-rendering and a folder-based config approach.,https://udemy-images.udemy.com/course/480x270/1523224_60cb.jpg,Academind by Maximilian Schwarzmüller,/nuxtjs-vuejs-on-steroids/,$144.99,Development,288,Web Development,8,4.82
64,"Angular (Full App) with Angular Material, Angularfire & NgRx","Use Angular, Angular Material, Angularfire (+ Firebase with Firestore) and NgRx to build a real Angular App",https://udemy-images.udemy.com/course/480x270/1512962_9f57.jpg,Academind by Maximilian Schwarzmüller,/angular-full-app-with-angular-material-angularfire-ngrx/,$144.99,Development,288,Web Development,8,4.83
65,Node with React: Fullstack Web Development,"Build and deploy fullstack web apps with NodeJS, React, Redux, Express, and MongoDB.",https://udemy-images.udemy.com/course/480x270/1254420_f6cb_4.jpg,Stephen Grider,/node-with-react-fullstack-web-development/,$179.99,Development,288,Web Development,8,4.75
66,AWS Certified SysOps Administrator - Associate 2018,Want to pass the AWS Certified SysOps Administrator Exam? Want to become Amazon Web Services Certified? Do this course!,https://udemy-images.udemy.com/course/480x270/422702_03c8_7.jpg,Ryan Kroonenburg,/aws-certified-sysops-administrator-associate/,$149.99,IT & Software,294,IT Certification,132,4.48
67,Taming Big Data with Apache Spark and Python - Hands On!,"Dive right in with 15+  hands-on examples of analyzing large data sets with Apache Spark, on your desktop or on Hadoop!",https://udemy-images.udemy.com/course/480x270/622414_03f5_4.jpg,Sundog Education by Frank Kane,/taming-big-data-with-apache-spark-hands-on/,$99.99,Development,288,Software Engineering,20,4.54
68,Data Science: Deep Learning in Python,"The MOST in-depth look at neural network theory, and how to code one with pure Python and Tensorflow",https://udemy-images.udemy.com/course/480x270/713104_d4cb.jpg,Lazy Programmer Inc.,/data-science-deep-learning-in-python/,$179.99,Business,268,Data & Analytics,44,4.61
69,Electron for Desktop Apps: The Complete Developer's Guide,Use the Electron Framework to build compelling cross platform desktop applications with the latest web dev technologies,https://udemy-images.udemy.com/course/480x270/1200530_21e0_5.jpg,Stephen Grider,/electron-react-tutorial/,$49.99,Development,288,Web Development,8,4.62
70,Python A-Z™: Python For Data Science With Real Exercises!,"Programming In Python For Data Analytics And Data Science. Learn Statistical Analysis, Data Mining And Visualization",https://udemy-images.udemy.com/course/480x270/913448_e6e2.jpg,Kirill Eremenko,/python-coding/,$199.99,Business,268,Data & Analytics,44,4.57
71,Angular (Angular 2+) & NodeJS - The MEAN Stack Guide,Learn how to connect your Angular 2/ Angular 5 Frontend with a NodeJS Backend by building a real Application,https://udemy-images.udemy.com/course/480x270/833442_b26e.jpg,Maximilian Schwarzmüller,/angular-2-and-nodejs-the-practical-guide/,$149.99,Development,288,Web Development,8,4.65
72,The Complete Oracle SQL Certification Course,"Don't just learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!",https://udemy-images.udemy.com/course/480x270/866196_be1d.jpg,Imtiaz Ahmad,/the-complete-oracle-sql-certification-course/,$194.99,Development,288,Databases,16,4.58
73,The Complete Cyber Security Course : Anonymous Browsing!,"Volume 3 : Become a Cyber Security Specialist, Anonymous Browsing, Hide my IP, Tor, Privacy, Proxy Servers and Best VPNs",https://udemy-images.udemy.com/course/480x270/875976_045e_3.jpg,Nathan House,/the-complete-cyber-security-course-anonymous-browsing/,$119.99,IT & Software,294,Network & Security,134,4.72
74,Elevate Your Tennis Game: Learn from Champion Andre Agassi,Level up your tennis game with the next best thing to a private lesson. Master insider secrets and a winnerâ€™s mindset.,https://udemy-images.udemy.com/course/480x270/1041352_c116.jpg,Andre Agassi,/andreagassi/,$99.99,Health & Fitness,276,Sports,226,4.41
75,Tidy Up Your Home: The KonMari Method,Learn how to properly tidy your home and spark joy in your life!,https://udemy-images.udemy.com/course/480x270/1419264_c08a.jpg,Marie Kondo,/tidy-up-your-home-the-konmari-method/,$59.99,Personal Development,296,Personal Transformation,142,4.56
76,Cryptocurrency Investment Course 2018: Fund your Retirement!,The Complete Guide to Buying and Selling Bitcoin and Altcoins on the Cryptocurrency Exchange!,https://udemy-images.udemy.com/course/480x270/1223900_3e21.jpg,Suppoman ™,/cryptocurrency/,$194.99,Business,268,Entrepreneurship,26,4.39
77,Cryptocurrency Wealth: How to Trade & Invest Like the Pros,The opportunity of a lifetime. Learn from an experienced cryptocurrency trader and investor. Your journey starts here.,https://udemy-images.udemy.com/course/480x270/1360268_513b.jpg,Theo McArthur,/crytocurrency-wealth-how-to-trade-invest-like-the-pros/,$189.99,Business,268,Entrepreneurship,26,4.49
78,Ultimate Google AdWords Course 2017–Stop SEO & Win With PPC!,Learn how our clients have transformed their sales using google AdWords & get your AdWords certification!,https://udemy-images.udemy.com/course/480x270/671544_9613_5.jpg,Isaac Rudansky,/the-ultimate-google-adwords-training-course/,$199.99,Marketing,290,Digital Marketing,62,4.79
79,CompTIA Network+ Cert.; N10-006. The Total Course.,"Everything you need to pass the CompTIA Network+ Exam, N10-006 from Mike Meyers, CompTIA expert and bestselling author.",https://udemy-images.udemy.com/course/480x270/642612_183d.jpg,Total Seminars,/comptia-network-certification-n10-006-the-total-course/,$194.99,IT & Software,294,IT Certification,132,4.72
80,Vue JS 2 - The Complete Guide (incl. Vue Router & Vuex),Vue JS is an awesome JavaScript Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!,https://udemy-images.udemy.com/course/480x270/995016_ebf4.jpg,Maximilian Schwarzmüller,/vuejs-2-the-complete-guide/,$189.99,Development,288,Web Development,8,4.77
81,The Complete Node.js Developer Course (2nd Edition),"Learn Node.js by building real-world applications with Node, Express, MongoDB, Mocha, and more!",https://udemy-images.udemy.com/course/480x270/922484_52a1_5.jpg,Andrew Mead,/the-complete-nodejs-developer-course-2/,$84.99,Development,288,Programming Languages,12,4.69
82,CompTIA A+ Certification 901. The Total Course,"Everything you need to pass the CompTIA A+ 220-901 Exam, from Mike Meyers, CompTIA expert and bestselling author.",https://udemy-images.udemy.com/course/480x270/877160_2b11.jpg,Total Seminars,/comptia-a-certification-901-the-total-course/,$144.99,IT & Software,294,IT Certification,132,4.66
83,Ionic 2/ Ionic 3 - Build iOS & Android Apps with Angular,"Build Native iOS and Android Apps with Angular 2/ Angular 4, Cordova and the Ionic 2 Framework. Build 4 Complete Apps!",https://udemy-images.udemy.com/course/480x270/1070124_3a0f.jpg,Maximilian Schwarzmüller,/ionic-2-the-practical-guide-to-building-ios-android-apps/,$179.99,Development,288,Mobile Apps,10,4.7
84,React Native: Advanced Concepts,"Master the advanced topics of React Native: Animations, Maps, Notifications, Navigation and More!",https://udemy-images.udemy.com/course/480x270/1172996_0241_5.jpg,Stephen Grider,/react-native-advanced/,$94.99,Development,288,Mobile Apps,10,4.71
85,Data Science and Machine Learning Bootcamp with R,Learn how to use the R programming language for data science and machine learning and data visualization!,https://udemy-images.udemy.com/course/480x270/821726_8071.jpg,Jose Portilla,/data-science-and-machine-learning-bootcamp-with-r/,$194.99,Business,268,Data & Analytics,44,4.61
86,Build a Shopify Dropshipping Business from Scratch,"Start your own business from anywhere in the world, and learn from a 6-Figure e-Commerce Shopify Entrepreneur",https://udemy-images.udemy.com/course/480x270/1059278_6197_4.jpg,Adam Reed,/build-a-shopify-dropshipping-business-from-scratch/,$199.99,Business,268,Entrepreneurship,26,4.51
87,Landing Page Design & Conversion Rate Optimization 2017,Triple Your Conversion Rate With These Landing Page Design Principles & Build A Landing Page From Scratch With No Code,https://udemy-images.udemy.com/course/480x270/1048360_8a17.jpg,Isaac Rudansky,/landing-page-design-best-practices/,$194.99,Design,269,Web Design,6,4.74
88,Statistics for Business Analytics A-Z™,"Learn The Core Stats For A Data Science Career. Master Statistical Significance, Confidence Intervals And Much More!",https://udemy-images.udemy.com/course/480x270/1175200_2723.jpg,Kirill Eremenko,/data-statistics/,$199.99,Business,268,Data & Analytics,44,4.4
89,Writing With Flair: How To Become An Exceptional Writer,"Ex-Wall Street Journal Editor Shows How To Make Your Blogs, Books & Business Writing Sparkle",https://udemy-images.udemy.com/course/480x270/196152_331b_3.jpg,Shani Raja,/writing-with-flair-how-to-become-an-exceptional-writer/,$199.99,Business,268,Communications,28,4.37
90,"Instagram Marketing 2018: A Step-By-Step to 10,000 Followers","Attract Hyper-Targeted Instagram Followers, Convert Followers to Paying Customers, & Expand your Brand Using Instagram",https://udemy-images.udemy.com/course/480x270/484606_5721_13.jpg,Benjamin Wilson,/instagram-marketing-for-small-businesses/,$199.99,Marketing,290,Social Media Marketing,66,4.41
91,The Complete React Web Developer Course (with Redux),"Learn how to build and launch React web applications using React v16, Redux, Webpack, React-Router v4, and more!",https://udemy-images.udemy.com/course/480x270/1286908_1773_4.jpg,Andrew Mead,/react-2nd-edition/,$99.99,Development,288,Web Development,8,4.78
92,Microsoft Excel - Advanced Excel Formulas & Functions,"Master 75+ Excel formulas & functions with a best-selling Microsoft Excel instructor. Excel 2010, Excel 2013, Excel 2016",https://udemy-images.udemy.com/course/480x270/516446_4935_4.jpg,Chris Dutton,/excel-for-analysts/,$174.99,Office Productivity,292,Microsoft,96,4.64
93,Angular Styling & Animations (for Angular 2+),For Angular 2/ Angular 5: Learn how to use dynamic Styles and powerful Animations to create beautiful Angular Apps,https://udemy-images.udemy.com/course/480x270/1145430_68e5.jpg,Maximilian Schwarzmüller,/angular-styling-animations-for-angular-2-and-angular-4/,$119.99,Development,288,Web Development,8,4.77
