,Course,Description,Image,Instructor,Link,Price
32,Microsoft Excel 2010 Course Beginners/ Intermediate Training,Learn to Invoke the Power of Microsoft Excel in easy to follow stages,https://udemy-images.udemy.com/course/125_H/9287_d093_15.jpg,Infinite Skills,/excel-tutorial/,$49.99
33,Seth Godin's Freelancer Course,"Become Remarkable, Find Better Clients, and Do Work That Matters",https://udemy-images.udemy.com/course/125_H/475170_209f.jpg,Seth Godin,/seth-godin-freelancer-course/,$49.99
34,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,Forex Trading - Beginners and Experienced - Learn trading by Doing! Live examples: Forex with Real Money in Metatrader 4,https://udemy-images.udemy.com/course/125_H/308690_6e17_2.jpg,Kirill Eremenko,/forex-trading/,$194.99
35,#1 Cryptocurrency Long-term Investment Opportunity 2017/2018,Learn Long-term Cryptocurrency Investing and see which Alt Coin I think is the best investment opportunity in 2017!,https://udemy-images.udemy.com/course/125_H/1316818_a3aa_2.jpg,Suppoman ™,/cryptocurrency-course/,$194.99
36,PMP Exam Prep: Earn Your PMP Certification,Project Management Professional (PMP) Exam Prep Seminar to Pass the PMP Exam - 35 Contact Hours from PMI REP #4082,https://udemy-images.udemy.com/course/125_H/979552_ac7a.jpg,Joseph Phillips,/pmp-exam-prep-earn-your-pmp-certification/,$199.99
37,Apache Kafka Series - Learn Apache Kafka for Beginners,"Tutorial: Learn the Apache Kafka Ecosystem, Core Concepts, Operations, Kafka API, Build Your Own Producers and Consumers",https://udemy-images.udemy.com/course/125_H/1075642_b6d2_6.jpg,Stephane Maarek,/apache-kafka/,$49.99
38,AWS Certified Developer - Associate 2017 (Practice Tests),Final prep for the AWS CD-A certification exam,https://udemy-images.udemy.com/course/125_H/1105302_6311.jpg,Ryan Kroonenburg,/aws-certified-developer-associate-2017-practice-tests/,$99.99
39,Docker Mastery: The Complete Toolset From a Docker Captain,"v17.09 Latest! Build, compose, deploy, and manage Docker containers from development to DevOps based Swarm clusters",https://udemy-images.udemy.com/course/125_H/1035000_c1aa_2.jpg,Bret Fisher,/docker-mastery/,$199.99
40,Complete Elasticsearch Masterclass with Logstash and Kibana,"Learn how to build a search engine and break into big data by mastering Elasticsearch, Kibana and Logstash (ELK stack)",https://udemy-images.udemy.com/course/125_H/1245870_5814_4.jpg,Imtiaz Ahmad,/complete-elasticsearch-masterclass-with-kibana-and-logstash/,$154.99
41,Xamarin Forms: Build Native Cross-platform Apps with C#,"Learn to build native mobile apps for Android, iOS and Windows using your existing C# skills",https://udemy-images.udemy.com/course/125_H/951684_9c1a_2.jpg,Mosh Hamedani,/xamarin-forms-course/,$189.99
42,GraphQL with React: The Complete Developers Guide,Learn and master GraphQL by building real web apps with React and Node,https://udemy-images.udemy.com/course/125_H/1109926_7f97_2.jpg,Stephen Grider,/graphql-with-react-course/,$149.99
43,The Python Bible™ | Everything You Need to Program in Python,Build 11 Projects and go from Beginner to Pro in Python with the World's Most Fun Project-Based Python Course!,https://udemy-images.udemy.com/course/125_H/903378_f32d_5.jpg,Ziyad Yehia,/the-python-bible/,$194.99
44,CompTIA A+ Certification 902. The Total Course,"Everything you need to pass the CompTIA A+ 220-902 Exam, from Mike Meyers, CompTIA expert and bestselling author.",https://udemy-images.udemy.com/course/125_H/878110_5f57.jpg,Total Seminars,/comptia-a-certification-902-the-total-course/,$144.99
45,The Complete ASP.NET MVC 5 Course,Learn to build and deploy fast and secure web applications with ASP.NET MVC 5,https://udemy-images.udemy.com/course/125_H/806922_6310_3.jpg,Mosh Hamedani,/the-complete-aspnet-mvc-5-course/,$189.99
46,AWS Serverless APIs & Apps - A Complete Introduction,"Get into serverless computing with API Gateway, AWS Lambda and other Amazon Web Services! Zero server config APIs & SPAs",https://udemy-images.udemy.com/course/125_H/1241254_9cc1.jpg,Maximilian Schwarzmüller,/aws-serverless-a-complete-introduction/,$144.99
47,Artificial Intelligence: Reinforcement Learning in Python,"Complete guide to artificial intelligence and machine learning, prep for deep reinforcement learning",https://udemy-images.udemy.com/course/125_H/1080408_2645_3.jpg,Lazy Programmer Inc.,/artificial-intelligence-reinforcement-learning-in-python/,$179.99
48,Microsoft Excel - Data Analysis with Excel Pivot Tables,"Master Excel Pivot Tables with a best-selling Microsoft Excel instructor. Excel 2010, Excel 2013, Excel 2016",https://udemy-images.udemy.com/course/125_H/977438_476d_9.jpg,Chris Dutton,/data-analysis-with-excel-pivot-tables/,$174.99
49,Acumen Presents: Chris Anderson on Public Speaking,The Head of TED Teaches You How to Deliver Talks that Share Powerful Ideas,https://udemy-images.udemy.com/course/125_H/852192_8dbd_3.jpg,+Acumen Courses,/chris-anderson-on-public-speaking/,$99.99
50,WordPress Theme Development with Bootstrap,Learn how to confidently develop custom & profitable Responsive WordPress Themes and Websites with no prior experience.,https://udemy-images.udemy.com/course/125_H/271228_ce5b_9.jpg,Brad Hussey,/bootstrap-to-wordpress/,$174.99
